Presence penalty,Turnitin,OpenAI classifier,GPT2 detector
0.0,0.6666666666666666,0.94,0.6933333333333334
0.1,1.0,0.8700000000000001,1.0
0.2,1.0,0.9566666666666668,1.0
0.3,1.0,0.6333333333333333,1.0
0.4,0.7933333333333333,0.87,0.3833333333333333
0.5,0.53,0.94,1.0
0.6,0.8266666666666667,0.7366666666666667,0.7266666666666667
0.7,0.3999999999999999,0.87,0.3333333333333333
0.8,0.21,0.94,0.6633333333333333
0.9,0.59,0.5566666666666666,0.5733333333333334
1.0,0.4033333333333333,0.7200000000000001,0.7833333333333333
1.1,0.5733333333333334,0.6333333333333334,0.6666666666666666
1.2,0.3333333333333333,0.3466666666666667,0.33
1.3,0.0,0.4133333333333334,0.0
1.4,0.0,0.3366666666666667,0.0033333333333333
1.5,0.0,0.3366666666666667,0.2966666666666667
1.6,0.3733333333333333,0.4133333333333334,0.0
1.7,0.16,0.1266666666666666,0.0
1.8,0.0999999999999999,0.05,0.0
1.9,0.21,0.1266666666666666,0.0
2.0,0.0,0.1266666666666666,0.0
